2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761.577,613.062,518.825,446.422,390.724,342.748,300.488,265.665,241.458,221.981,205.211,189.764,175.438,161.648,148.597,137.631,0-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.559,95.334,76.759,63.944,54.935,47.819,41.607,36.656,32.239,28.51,25.433,22.813,20.535,18.437,16.433,14.715,5月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.687,78.305,65.161,53.228,44.858,38.947,34.34,30.179,26.343,23.104,20.443,18.329,16.609,15.055,13.522,12.174,10月14日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.644,118.505,106.743,90.481,75.118,64.315,56.828,50.844,45.38,40.317,35.881,32.196,29.22,26.62,24.092,21.863,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184.563,165.641,154.724,140.189,119.35,99.551,85.818,76.2,68.624,61.819,55.31,49.568,44.718,40.545,36.66,33.336,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272.509,227.525,203.173,189.127,170.644,144.791,120.642,103.726,92.032,83.061,74.84,66.964,59.921,53.644,47.952,43.28,25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423.878,316.858,263.857,235.695,219.618,198.624,169.296,141.443,122.141,109.108,98.928,89.527,80.335,71.667,63.554,56.98,30-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542.276,494.267,369.358,308.495,276.543,258.847,235.703,201.905,169.79,147.964,133.158,121.63,110.762,99.461,88.23,78.781,35-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659.02,707.301,644.674,482.996,404.646,363.985,342.717,313.448,270.074,229.027,200.959,182.108,167.332,152.48,136.153,121.622,40-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065.735,894.098,962.267,881.231,663.12,557.793,504.792,477.323,439.11,381.67,326.112,288.47,263.391,242.653,220.312,198.514,45-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985.39,1623.971,1358.913,1460.995,1335.343,1002.701,843.46,762.243,721.151,665.969,580.464,497.761,441.6,402.377,367.703,335.453,50-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
